Character,x,Cluster
Human,0.7004922636349584,1
Cheetah,-0.30201061188370937,4
Wolf,-0.2524012638488446,7
Neanderthals ,0.7004922636349579,1
Homo erectus,0.7004922636349576,1
Australopithecus afarensis,0.6201732010555805,6
Plesiadapis,-0.20071795942649584,0
Sunda flying lemur,-0.20467000704853322,0
Ring-tailed lemur,-0.1503402732146831,5
Coquerel's sifaka,-0.15034027321468313,5
Brown greater galago,-0.1503402732146831,5
Repenomamus,-0.21051033777306066,0
Carlito syrichta,-0.03939529456757589,3
Brown spider monkey,0.1361467198101354,2
White rhinoceros,-0.2274330585699937,7
Plains zebra,-0.23026628254611606,7
Lion,-0.30201061188370953,4
Cynognathus,-0.2159708379382615,0
Tyrannosaurus rex,-0.22138962664024056,7
