Character,x,y,Cluster
Human,108.93342300430248,49.25176584652865,1
Cheetah,2.5230300951735525,104.3167486727366,2
Wolf,4.948549200838791,71.14871432340233,4
Neanderthals ,94.46724277423046,53.03329402956358,1
Homo erectus,100.02069340269864,44.71709387339942,1
Australopithecus afarensis,88.56678723302937,44.93969363152536,1
Plesiadapis,20.627839982192967,39.40763689743818,0
Sunda flying lemur,14.635886213725723,31.401414981317696,0
Ring-tailed lemur,15.661243724880539,9.98562400354363,3
Coquerel's sifaka,14.597090872356002,-9.985629463713435,3
Brown greater galago,15.129167735030466,5.460169848430427e-06,3
Repenomamus,12.381748731526889,46.0682385688587,4
Carlito syrichta,26.195966488401695,27.021409507472725,0
Brown spider monkey,43.70634163689098,30.575431457351677,0
White rhinoceros,6.602926184281584,25.440459228628402,0
Plains zebra,-1.188599276952462,31.812413176735454,4
Lion,-2.5230300951735356,95.68325132726338,2
Cynognathus,6.882354690604674,37.7163596336723,4
Tyrannosaurus rex,0.218885200434014,45.17259963180837,4
