id,label,Left-Right,Authoritarian-Libertarian,Socialist-Capitalist,Planned-Laissez Faire,Authoritarian-Libertarian,Autocracy-Democracy,Universal-Particular,Nationalist-Globalist,Progress-Tradition,Conserve-Reform,Acceleration-Deceleration,Transhumanism-Primitivism,Common Law-Civil Law,Punishment-Rehabilitation,Equality-Hierarchy,Monocultural-Multicultural,Compromise-Persist,Transitional-Direct,Moderate-Radical,Constructivism-Essentialism 
0,Giorgia Meloni,85,30,80,75,30,60,30,20,85,30,40,60,20,25,80,15,70,40,70,80
1,Ursula von der Leyen,55,40,60,65,40,90,60,70,40,70,40,30,40,60,50,70,60,50,45,35
2,Volodymyr Zelenskyy,55,40,60,50,45,85,30,60,35,65,60,30,50,65,40,70,30,50,40,35
3,Emmanuel Macron,60,45,75,70,45,90,35,65,35,60,35,30,65,70,40,75,40,30,40,30
4,Benjamin Netanyahu,85,25,90,80,20,60,30,25,80,30,50,40,20,30,75,30,70,40,60,80
5,Narendra Modi,80,25,85,80,30,40,35,25,80,35,40,30,30,40,70,20,70,20,65,75
6,Vladimir Putin,85,25,75,70,30,30,20,30,75,25,60,30,70,30,70,30,70,40,70,80
7,Elon Musk,85,25,90,95,20,30,15,20,80,30,20,15,40,20,80,25,90,80,75,70
8,Xi Jingping,25,10,20,15,10,10,30,20,80,30,50,70,80,30,20,20,80,10,30,75
9,Donald Trump,90,15,95,85,10,20,30,20,85,15,40,80,40,20,90,10,80,90,85,80
