label,Domain,Kingdom,Phylum,Clade 1,Clade 2,Clade 3,Clade 4,Class,Order,Suborder,Infraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species
Human,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Haplorhini,Simiiformes,Hominidae,Hominidae,Hominini,Homo,,H. sapiens
Cheetah,Eukaryota,Animalia,Chordata,,,,,Mammalia,Carnivora,Feliformia,,Felidae,Felinae,,Acinonyx,,A. jubatus
Wolf,Eukaryota,Animalia,Chordata,,,,,Mammalia,Carnivora,,,Canidae,,,Canis,,C. lupus
Neanderthals ,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Haplorhini,Simiiformes,Hominidae,Hominidae,Hominini,Homo,,H. neanderthalensis
Homo erectus,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Haplorhini,Simiiformes,Hominidae,Hominidae,Hominini,Homo,,H. erectus
Australopithecus afarensis,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Haplorhini,Simiiformes,Hominidae,Hominidae,Hominini,Australopithecus,,A. afarensis
Plesiadapis,Eukaryota,Animalia,Chordata,,,,,Mammalia,Plesiadapiformes,,,Plesiadapidae,,,Plesiadapis,,
Sunda flying lemur,Eukaryota,Animalia,Chordata,,,,,Mammalia,Dermoptera,,,Cynocephalidae,,,Galeopterus,,G. variegatus
Ring-tailed lemur,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Strepsirrhini,,Lemuridae,,,Lemur,,L. catta
Coquerel's sifaka,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Strepsirrhini,,Indriidae,,,Propithecus,,P. coquereli
Brown greater galago,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Strepsirrhini,,Galagidae,,,Otolemur,,O. crassicaudatus
Repenomamus,Eukaryota,Animalia,Chordata,,,,,Mammalia,Eutriconodonta,,,Gobiconodontidae,,,Repenomamus,,Repenomamus robustus
Carlito syrichta,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Haplorhini,Tarsiiformes,,,,Carlito ,,Carlito syrichta
Brown spider monkey,Eukaryota,Animalia,Chordata,,,,,Mammalia,Primates,Haplorhini,Simiiformes,Atelidae,,,Ateles,,A. hybridus
White rhinoceros,Eukaryota,Animalia,Chordata,,,,,Mammalia,Perissodactyla,,,Rhinocerotidae,,,Ceratotherium,,C. simum
Plains zebra,Eukaryota,Animalia,Chordata,,,,,Mammalia,Perissodactyla,,,Equidae,,,Equus,Hippotigris,E. quagga
Lion,Eukaryota,Animalia,Chordata,,,,,Mammalia,Carnivora,Feliformia,,Felidae,Pantherinae,,,Panthera,P. leo
Cynognathus,Eukaryota,Animalia,Chordata,Synapsida,Therapsida,CynodontiaCynognathia,,,,,,Cynognathidae,,,Cynognathus,,Cynognathus crateronotus
Tyrannosaurus rex,,,,Dinosauria,Saurischia,Theropoda,,,,,,Tyrannosauridae,Tyrannosaurinae,Tyrannosaurini,Tyrannosaurus,,Tyrannosaurus rex
